Resultados reales de eficacia · artifacts custom P1-P4											
Recuentos derivados de ALERTAS_VR y de las campañas TEC/FP. No contiene medidas de CPU, memoria, E/S ni consumo por proceso.											
Tabla 1 · Resumen por perfil											
Perfil	Artifact principal	Sources internas ejecutadas	Técnicas cubiertas declaradas	Técnicas detectadas	Alertas CLIENT_EVENT	Porcentaje sobre total	FP hits	Función principal	Evidencia	Limitaciones	
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_Sysmon_ID1_Process_Basic	P1	TEC-009	T1074.001 / T1560.001 / T1048.003	1	Sysmon ID 1	4	TEC_20260624	2026-06-24T12:54:20.828Z .. 2026-06-24T12:54:20.862Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_Sysmon_ID1_Process_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_System7045_ServiceCreation	P1	TEC-005	T1569.002	7045	System 7045	1	TEC_20260624	2026-06-24T12:51:51.589Z .. 2026-06-24T12:51:51.589Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_System7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_TEC009_Sysmon_Context	P1	TEC-009	T1048.003 / T1560.001	3	Sysmon ID 3	4	TEC_20260624	2026-06-24T12:54:21.811Z .. 2026-06-24T12:54:21.811Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_TEC009_Sysmon_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_PowerShell4104_Strong_By_Technique	P2	TEC-001	T1059.001	4104	PowerShell 4104	2	TEC_20260624	2026-06-24T12:50:53.989Z .. 2026-06-24T12:54:37.594Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_PowerShell4104_Strong_By_Technique	P2	TEC-006	T1518.001	4104	PowerShell 4104	2	TEC_20260624	2026-06-24T12:52:15.900Z .. 2026-06-24T12:52:16.265Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_ID1_Process_By_Technique	P2	TEC-002	T1059.003	1	Sysmon ID 1	82	TEC_20260624	2026-06-24T12:50:22.551Z .. 2026-06-24T12:55:41.845Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_ID1_Process_By_Technique	P2	TEC-003	T1053.005	1	Sysmon ID 1	6	TEC_20260624	2026-06-24T12:50:22.576Z .. 2026-06-24T12:51:22.687Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_ID1_Process_By_Technique	P2	TEC-004	T1547.001	1	Sysmon ID 1	8	TEC_20260624	2026-06-24T12:50:22.806Z .. 2026-06-24T12:51:38.812Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_ID1_Process_By_Technique	P2	TEC-005	T1569.002	1	Sysmon ID 1	6	TEC_20260624	2026-06-24T12:50:22.715Z .. 2026-06-24T12:52:00.122Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_ID1_Process_By_Technique	P2	TEC-006	T1518.001	1	Sysmon ID 1	4	TEC_20260624	2026-06-24T12:52:15.300Z .. 2026-06-24T12:52:19.812Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_ID1_Process_By_Technique	P2	TEC-008	T1485 context	1	Sysmon ID 1	2	TEC_20260624	2026-06-24T12:53:41.325Z .. 2026-06-24T12:53:41.325Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_Registry_File_Network_Context	P2	TEC-004	T1547.001 context	12	Sysmon Registry	3	TEC_20260624	2026-06-24T12:54:08.286Z .. 2026-06-24T12:54:08.286Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_Registry_File_Network_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_Sysmon_Registry_File_Network_Context	P2	TEC-004	T1547.001 context	13	Sysmon Registry	2	TEC_20260624	2026-06-24T12:54:08.286Z .. 2026-06-24T12:54:08.286Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_Registry_File_Network_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Forensic_EVENT_System_7045_ServiceCreation	P2	TEC-005	T1569.002	7045	System 7045	1	TEC_20260624	2026-06-24T12:51:51.589Z .. 2026-06-24T12:51:51.589Z	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_System_7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC001_PowerShell_4104	P3	TEC-001	T1059.001	4104	PowerShell 4104	2	TEC_20260624	2026-06-24T12:50:53.989Z .. 2026-06-24T12:54:37.594Z	05_LOGS\Validas\Prueba_24_06_2026\TEC001_PowerShell_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC002_CMD_Sysmon	P3	TEC-002	T1059.003	1	Sysmon ID 1	54	TEC_20260624	2026-06-24T12:50:22.945Z .. 2026-06-24T12:55:41.845Z	05_LOGS\Validas\Prueba_24_06_2026\TEC002_CMD_Sysmon-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC003_ScheduledTask_Sysmon	P3	TEC-003	T1053.005	1	Sysmon ID 1	16	TEC_20260624	2026-06-24T12:50:22.551Z .. 2026-06-24T12:51:22.687Z	05_LOGS\Validas\Prueba_24_06_2026\TEC003_ScheduledTask_Sysmon-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC004_RunKey_Sysmon	P3	TEC-004	T1547.001	1	Sysmon ID 1	12	TEC_20260624	2026-06-24T12:50:22.788Z .. 2026-06-24T12:51:38.812Z	05_LOGS\Validas\Prueba_24_06_2026\TEC004_RunKey_Sysmon-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC005_Service_System7045	P3	TEC-005	T1569.002	7045	System 7045	1	TEC_20260624	2026-06-24T12:51:51.589Z .. 2026-06-24T12:51:51.589Z	05_LOGS\Validas\Prueba_24_06_2026\TEC005_Service_System7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC006_SecuritySoftwareDiscovery_4104	P3	TEC-006	T1518.001	4104	PowerShell 4104	2	TEC_20260624	2026-06-24T12:52:15.900Z .. 2026-06-24T12:52:16.265Z	05_LOGS\Validas\Prueba_24_06_2026\TEC006_SecuritySoftwareDiscovery_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC006_SecuritySoftwareDiscovery_Sysmon	P3	TEC-006	T1518.001 context	1	Sysmon ID 1	10	TEC_20260624	2026-06-24T12:52:15.255Z .. 2026-06-24T12:52:19.812Z	05_LOGS\Validas\Prueba_24_06_2026\TEC006_SecuritySoftwareDiscovery_Sysmon-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC007_DataEncryptedForImpact_4104	P3	TEC-007	T1486	4104	PowerShell 4104	4	TEC_20260624	2026-06-24T12:52:53.103Z .. 2026-06-24T12:52:55.848Z	05_LOGS\Validas\Prueba_24_06_2026\TEC007_DataEncryptedForImpact_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC008_DataDestruction_4104	P3	TEC-008	T1485	4104	PowerShell 4104	1	TEC_20260624	2026-06-24T12:53:42.608Z .. 2026-06-24T12:53:42.608Z	05_LOGS\Validas\Prueba_24_06_2026\TEC008_DataDestruction_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC009_HTTP_Network_Sysmon_Context	P3	TEC-009	T1048.003 context	3	Sysmon ID 3	4	TEC_20260624	2026-06-24T12:54:21.811Z .. 2026-06-24T12:54:21.811Z	05_LOGS\Validas\Prueba_24_06_2026\TEC009_HTTP_Network_Sysmon_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC009_HTTP_Upload_Sysmon_Process_Context	P3	TEC-009	T1074.001 / T1560.001 / T1048.003 context	1	Sysmon ID 1	2	TEC_20260624	2026-06-24T12:54:20.862Z .. 2026-06-24T12:54:20.862Z	05_LOGS\Validas\Prueba_24_06_2026\TEC009_HTTP_Upload_Sysmon_Process_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	TEC009_HTTP_ZIP_Upload_4104	P3	TEC-009	T1074.001 / T1560.001 / T1048.003	4104	PowerShell 4104	1	TEC_20260624	2026-06-24T12:54:37.369Z .. 2026-06-24T12:54:37.369Z	05_LOGS\Validas\Prueba_24_06_2026\TEC009_HTTP_ZIP_Upload_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P4.Low.Basic_v2	CU001_Source_TEC001_PowerShell_Basic	P4	TEC-001	T1059.001	1	ProcessCreation	38	TEC_20260624	2026-06-24T12:50:22.977Z .. 2026-06-24T12:55:42.311Z	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P4.Low.Basic_v2	CU002_Source_TEC002_CMD_Basic	P4	TEC-002	T1059.003	1	ProcessCreation	78	TEC_20260624	2026-06-24T12:50:22.551Z .. 2026-06-24T12:55:41.845Z	05_LOGS\Validas\Prueba_24_06_2026\CU002_Source_TEC002_CMD_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P4.Low.Basic_v2	CU003_Source_TEC003_ScheduledTask_Basic	P4	TEC-003	T1053.005	1	ProcessCreation	8	TEC_20260624	2026-06-24T12:50:22.576Z .. 2026-06-24T12:51:22.687Z	05_LOGS\Validas\Prueba_24_06_2026\CU003_Source_TEC003_ScheduledTask_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P4.Low.Basic_v2	CU004_Source_TEC004_RunKeys_Basic	P4	TEC-004	T1547.001	1	ProcessCreation	8	TEC_20260624	2026-06-24T12:50:22.806Z .. 2026-06-24T12:51:38.812Z	05_LOGS\Validas\Prueba_24_06_2026\CU004_Source_TEC004_RunKeys_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P4.Low.Basic_v2	CU005_Source_TEC005_ServiceCreation_7045	P4	TEC-005	T1569.002	7045	Windows System Event 7045	1	TEC_20260624	2026-06-24T12:51:51.589Z .. 2026-06-24T12:51:51.589Z	05_LOGS\Validas\Prueba_24_06_2026\CU005_Source_TEC005_ServiceCreation_7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
											
Tabla 4 · Pruebas reales y falsos positivos custom											
Campaña	Planificadas	Ejecutadas	OK	WARN	FAIL	Hits	Evidencia	Lectura			
TEC real	9	9	9	0	0	No aplica	tecnicas_real_vr.csv / dataset_summary.json	9/9 detectadas por CLIENT_EVENT custom.			
FP custom	10	10	10	0	0	0	fp_runner.csv / fp_hits.csv / summary.json	10/10 OK; 0 hits. Hayabusa FP queda separado.			
